ID,tool,sex
ABS,S,M
AJA,S,M
AME,NS,F
ANJ,NS,F
ANN,NS,F
ARN,NS,F
ATI,S,M
BAI,S,F
BAQ,NS,F
BCD,S,F
BEC,NS,M
BEN,NS,F
BIL,S,F
BNN,NS,F
BNO,S,M
BRA,NS,F
BUC,S,F
BUN,S,F
CAO,NS,F
COC,S,M
COR,S,F
CRT,S,F
CUB,S,F
DAB,NS,M
DAI,S,F
DAL,NS,F
DAM,NS,F
DEP,S,M
DET,NS,F
DEV,NS,F
DGG,NS,F
DOO,NS,M
DRO,NS,F
DUN,S,F
EMU,S,F
ESK,NS,F
EST,NS,M
FAJ,S,F
FRA,S,F
GIN,S,F
GMP,NS,F
GRE,NS,M
GUI,S,F
HEA,NS,F
HIP,S,F
HMT,NS,F
IVA,S,M
JAC,S,F
JIM,NS,F
JON,S,M
JUF,NS,F
JUL,NS,M
KAH,S,F
KAN,NS,F
LEM,NS,F
LGT,NS,F
LIE,S,F
LIM,NS,F
LIZ,S,F
MAA,S,M
MAL,S,F
MAR,S,F
MAV,NS,F
MAY,S,F
MIT,NS,M
MOE,S,M
MOJ,S,F
MSH,NS,M
OPH,NS,F
PAN,NS,F
PAT,NS,M
PIN,S,F
POO,NS,F
PTA,NS,F
PUN,NS,F
RAD,NS,M
RDA,S,M
RHY,S,F
RIO,S,F
ROG,NS,M
SAL,NS,F
SAM,S,F
SAS,NS,M
SCT,S,M
SHO,S,F
SHR,NS,M
SIL,S,F
SLM,NS,F
SMO,NS,F
SPI,S,F
SUN,S,F
TAM,NS,M
TAP,S,F
TEQ,S,F
TIM,NS,M
TRI,S,M
TUK,S,F
VIN,S,F
WAL,NS,F
WHI,S,F
WIN,NS,F
WIT,S,F